"Date","Price","Open","High","Low","Change %"
"May 07, 2021","23,060.0","23,070.5","23,070.5","23,055.5","-0.03%"
"May 06, 2021","23,067.0","23,066.5","23,071.0","23,047.5","0.03%"
"May 05, 2021","23,060.0","23,063.5","23,071.0","23,047.5","0.04%"
"May 04, 2021","23,050.0","23,064.0","23,071.5","23,047.5","-0.02%"
"Apr 29, 2021","23,054.0","23,062.5","23,065.0","23,041.0","0.03%"
"Apr 28, 2021","23,047.0","23,046.5","23,060.0","23,036.5","0.02%"
"Apr 27, 2021","23,042.0","23,048.5","23,058.0","23,040.0","0.01%"
"Apr 26, 2021","23,040.0","23,050.5","23,075.0","23,042.5","-0.13%"
"Apr 23, 2021","23,070.0","23,071.0","23,075.5","23,057.5","0.00%"
"Apr 22, 2021","23,070.0","23,069.0","23,076.0","23,065.0","-0.02%"
"Apr 20, 2021","23,074.0","23,077.0","23,080.0","23,068.5","0.00%"
"Apr 19, 2021","23,073.0","23,073.5","23,076.5","23,067.0","0.03%"
"Apr 16, 2021","23,067.0","23,067.5","23,076.5","23,064.5","-0.03%"
"Apr 15, 2021","23,073.0","23,076.0","23,079.0","23,064.5","-0.02%"
"Apr 14, 2021","23,078.0","23,077.0","23,081.5","23,066.5","0.04%"
"Apr 13, 2021","23,069.0","23,071.0","23,075.5","23,065.5","0.01%"
"Apr 12, 2021","23,067.0","23,063.5","23,075.0","23,061.0","0.01%"
"Apr 09, 2021","23,065.0","23,075.0","23,086.5","23,064.0","-0.09%"
"Apr 08, 2021","23,085.0","23,090.0","23,095.0","23,083.0","-0.02%"
"Apr 07, 2021","23,090.0","23,093.0","23,093.5","23,088.0","0.00%"
"Apr 06, 2021","23,090.0","23,091.5","23,096.0","23,075.0","0.05%"
"Apr 05, 2021","23,079.0","23,079.5","23,083.0","23,069.0","0.03%"
"Apr 02, 2021","23,073.0","23,072.0","23,079.5","23,069.0","0.03%"
"Apr 01, 2021","23,065.0","23,075.0","23,078.0","23,069.5","-0.04%"
"Mar 31, 2021","23,074.0","23,075.0","23,077.5","23,068.5","0.02%"
"Mar 30, 2021","23,070.0","23,071.5","23,077.5","23,067.5","0.00%"
"Mar 29, 2021","23,070.0","23,090.0","23,092.5","23,069.5","-0.06%"
"Mar 26, 2021","23,084.0","23,085.0","23,095.0","23,077.0","0.00%"
"Mar 25, 2021","23,084.0","23,080.0","23,092.5","23,072.5","0.02%"
"Mar 24, 2021","23,080.0","23,081.5","23,085.5","23,065.0","0.04%"
"Mar 23, 2021","23,070.0","23,075.5","23,083.0","23,065.0","-0.03%"
"Mar 22, 2021","23,076.0","23,065.0","23,085.0","23,060.0","0.01%"
"Mar 19, 2021","23,073.0","23,065.0","23,077.5","23,060.5","0.03%"
"Mar 18, 2021","23,065.0","23,061.5","23,070.0","23,054.0","0.09%"
"Mar 17, 2021","23,045.0","23,070.0","23,080.5","23,055.0","-0.16%"
"Mar 16, 2021","23,082.0","23,076.0","23,083.5","23,064.5","0.00%"
"Mar 15, 2021","23,081.0","23,077.0","23,082.0","23,055.0","0.11%"
"Mar 12, 2021","23,055.0","23,057.5","23,058.5","23,037.5","0.02%"
"Mar 11, 2021","23,051.0","23,052.0","23,059.0","23,032.5","-0.00%"
"Mar 10, 2021","23,052.0","23,032.5","23,062.5","23,032.5","-0.03%"
"Mar 09, 2021","23,060.0","23,032.5","23,062.5","23,030.0","0.15%"
"Mar 08, 2021","23,025.0","23,036.5","23,046.0","23,020.5","-0.03%"
"Mar 05, 2021","23,033.0","23,025.5","23,040.0","23,016.5","0.06%"
"Mar 04, 2021","23,019.0","23,020.5","23,030.5","23,015.0","-0.00%"
"Mar 03, 2021","23,020.0","23,027.5","23,035.0","23,021.0","-0.01%"
"Mar 02, 2021","23,022.0","23,027.5","23,035.0","23,022.0","0.01%"
