Date,USD
2013-11-20,1257.0
2013-11-21,1240.0
2013-11-22,1246.25
2013-11-25,1243.0
2013-11-26,1247.5
2013-11-27,1245.0
2013-11-28,1245.5
2013-11-29,1253.0
2013-12-02,1229.5
2013-12-03,1217.25
2013-12-04,1227.5
2013-12-05,1222.5
2013-12-06,1233.0
2013-12-09,1237.0
2013-12-10,1266.25
2013-12-11,1260.75
2013-12-12,1225.25
2013-12-13,1232.0
2013-12-16,1234.75
2013-12-17,1231.75
2013-12-18,1230.5
2013-12-19,1196.0
2013-12-20,1195.25
2013-12-23,1199.0
2013-12-24,1199.0
2013-12-25,1199.0
2013-12-26,1199.0
2013-12-27,1214.5
2013-12-30,1204.5
2013-12-31,1204.5
2014-01-01,1204.5
2014-01-02,1225.0
2014-01-03,1234.5
2014-01-06,1246.25
2014-01-07,1227.5
2014-01-08,1221.0
2014-01-09,1226.0
2014-01-10,1244.25
2014-01-13,1248.0
2014-01-14,1251.5
2014-01-15,1236.0
2014-01-16,1241.5
2014-01-17,1250.0
2014-01-20,1255.75
2014-01-21,1238.0
2014-01-22,1241.0
2014-01-23,1263.0
2014-01-24,1267.0
2014-01-27,1260.5
2014-01-28,1251.25
2014-01-29,1264.0
2014-01-30,1242.5
2014-01-31,1251.0
2014-02-03,1262.0
2014-02-04,1250.25
2014-02-05,1254.5
2014-02-06,1256.5
2014-02-07,1259.25
2014-02-10,1277.0
2014-02-11,1282.0
2014-02-12,1289.5
2014-02-13,1296.0
2014-02-14,1320.0
2014-02-17,1327.5
2014-02-18,1320.75
2014-02-19,1320.5
2014-02-20,1316.25
2014-02-21,1323.25
2014-02-24,1334.75
2014-02-25,1339.0
2014-02-26,1331.75
2014-02-27,1332.25
2014-02-28,1326.5
2014-03-03,1349.5
2014-03-04,1334.75
2014-03-05,1337.0
2014-03-06,1345.25
2014-03-07,1335.25
2014-03-10,1344.0
2014-03-11,1346.25
2014-03-12,1366.0
2014-03-13,1368.75
2014-03-14,1385.0
2014-03-17,1378.5
2014-03-18,1355.75
2014-03-19,1338.0
2014-03-20,1327.0
2014-03-21,1336.0
2014-03-24,1310.75
2014-03-25,1313.5
2014-03-26,1304.0
2014-03-27,1296.0
2014-03-28,1294.75
2014-03-31,1291.75
2014-04-01,1283.75
2014-04-02,1292.0
2014-04-03,1284.0
2014-04-04,1297.25
2014-04-07,1299.0
2014-04-08,1309.5
2014-04-09,1301.75
2014-04-10,1320.5
2014-04-11,1318.0
2014-04-14,1325.75
2014-04-15,1298.0
2014-04-16,1301.5
2014-04-17,1299.0
2014-04-18,1299.0
2014-04-21,1299.0
2014-04-22,1286.75
2014-04-23,1285.25
2014-04-24,1291.5
2014-04-25,1301.25
2014-04-28,1299.0
2014-04-29,1297.75
2014-04-30,1288.5
2014-05-01,1278.5
2014-05-02,1281.25
2014-05-05,1281.25
2014-05-06,1306.25
2014-05-07,1296.0
2014-05-08,1287.0
2014-05-09,1291.25
2014-05-12,1298.75
2014-05-13,1296.5
2014-05-14,1305.25
2014-05-15,1299.0
2014-05-16,1291.5
2014-05-19,1302.0
2014-05-20,1295.5
2014-05-21,1287.25
2014-05-22,1298.5
2014-05-23,1291.5
2014-05-26,1291.5
